software,tier,classifier,n_features,chunk_accuracy,chunk_precision,chunk_recall,chunk_f1,chunk_fpr,chunk_tp,chunk_tn,chunk_fp,chunk_fn,session_accuracy,session_f1,session_fpr,session_tp,session_tn,session_fp,session_fn
freecad,F1,LogReg,3,0.5963302752293578,0.7923076923076923,0.6280487804878049,0.7006802721088435,0.5,206,54,54,122,0.8333333333333334,0.8750000000000001,0.0,14,6,0,4
freecad,F1,DecisionTree,3,0.8532110091743119,0.94,0.8597560975609756,0.8980891719745222,0.16666666666666666,282,90,18,46,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F1,RandomForest,3,0.9220183486238532,0.959375,0.9359756097560976,0.9475308641975307,0.12037037037037036,307,95,13,21,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F1,GradientBoosting,3,0.9220183486238532,0.9565217391304348,0.9390243902439024,0.9476923076923077,0.12962962962962962,308,94,14,20,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F2,LogReg,24,0.6123853211009175,0.8533333333333334,0.5853658536585366,0.6943942133815552,0.3055555555555556,192,75,33,136,0.7083333333333334,0.7586206896551725,0.0,11,6,0,7
freecad,F2,DecisionTree,24,0.8899082568807339,0.9666666666666667,0.8841463414634146,0.9235668789808917,0.09259259259259259,290,98,10,38,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F2,RandomForest,24,0.9288990825688074,0.9837133550488599,0.9207317073170732,0.9511811023622047,0.046296296296296294,302,103,5,26,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F2,GradientBoosting,24,0.9174311926605505,0.9345238095238095,0.9573170731707317,0.9457831325301205,0.2037037037037037,314,86,22,14,1.0,1.0,0.0,18,6,0,0
freecad,F3,LogReg,115,0.6743119266055045,0.9428571428571428,0.6036585365853658,0.7360594795539033,0.1111111111111111,198,96,12,130,0.7083333333333334,0.7586206896551725,0.0,11,6,0,7
freecad,F3,DecisionTree,115,0.8876146788990825,0.926605504587156,0.9237804878048781,0.9251908396946565,0.2222222222222222,303,84,24,25,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F3,RandomForest,115,0.9357798165137615,0.9838709677419355,0.9298780487804879,0.9561128526645768,0.046296296296296294,305,103,5,23,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F3,GradientBoosting,115,0.9174311926605505,0.9451219512195121,0.9451219512195121,0.945121951219512,0.16666666666666666,310,90,18,18,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F4,LogReg,217,0.8532110091743119,0.9489795918367347,0.850609756097561,0.8971061093247588,0.1388888888888889,279,93,15,49,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F4,DecisionTree,217,0.9013761467889908,0.9863481228668942,0.8810975609756098,0.9307568438003221,0.037037037037037035,289,104,4,39,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F4,RandomForest,217,0.9472477064220184,0.987220447284345,0.9420731707317073,0.9641185647425896,0.037037037037037035,309,104,4,19,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F4,GradientBoosting,217,0.944954128440367,0.9606060606060606,0.9664634146341463,0.9635258358662614,0.12037037037037036,317,95,13,11,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F5,LogReg,270,0.8692660550458715,0.9531772575250836,0.8689024390243902,0.9090909090909092,0.12962962962962962,285,94,14,43,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F5,DecisionTree,270,0.8967889908256881,0.9862542955326461,0.875,0.9273021001615509,0.037037037037037035,287,104,4,41,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F5,RandomForest,270,0.9495412844036697,0.9872611464968153,0.9451219512195121,0.9657320872274143,0.037037037037037035,310,104,4,18,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
freecad,F5,GradientBoosting,270,0.944954128440367,0.9606060606060606,0.9664634146341463,0.9635258358662614,0.12037037037037036,317,95,13,11,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
