software,tier,classifier,n_features,chunk_accuracy,chunk_precision,chunk_recall,chunk_f1,chunk_fpr,chunk_tp,chunk_tn,chunk_fp,chunk_fn,session_accuracy,session_f1,session_fpr,session_tp,session_tn,session_fp,session_fn
kicad,F1,LogReg,3,0.6022535211267606,0.5968523002421308,0.569284064665127,0.58274231678487,0.36633663366336633,986,1152,666,746,0.9583333333333334,0.9714285714285714,0.0,17,6,0,1
kicad,F1,DecisionTree,3,0.8214084507042253,0.7589622641509434,0.9289838337182448,0.8354101765316718,0.2810781078107811,1609,1307,511,123,1.0,1.0,0.0,18,6,0,0
kicad,F1,RandomForest,3,0.8425352112676057,0.7794187708432587,0.9445727482678984,0.8540850952753851,0.2546754675467547,1636,1355,463,96,1.0,1.0,0.0,18,6,0,0
kicad,F1,GradientBoosting,3,0.8191549295774648,0.7600190839694656,0.9197459584295612,0.8322884012539185,0.27667766776677666,1593,1315,503,139,1.0,1.0,0.0,18,6,0,0
kicad,F2,LogReg,23,0.8253521126760563,0.7571692876965772,0.9451501154734411,0.8407806882383152,0.2887788778877888,1637,1293,525,95,1.0,1.0,0.0,18,6,0,0
kicad,F2,DecisionTree,23,0.8611267605633803,0.7827476038338658,0.9901847575057737,0.8743308692327301,0.26182618261826185,1715,1342,476,17,1.0,1.0,0.0,18,6,0,0
kicad,F2,RandomForest,23,0.8661971830985915,0.790032302722658,0.9884526558891455,0.8781738907412157,0.25027502750275027,1712,1363,455,20,1.0,1.0,0.0,18,6,0,0
kicad,F2,GradientBoosting,23,0.8630985915492958,0.7863051470588235,0.9878752886836027,0.875639713408393,0.25577557755775576,1711,1353,465,21,1.0,1.0,0.0,18,6,0,0
kicad,F3,LogReg,122,0.8509859154929578,0.7720488466757124,0.9855658198614319,0.8658381942683235,0.27722772277227725,1707,1314,504,25,1.0,1.0,0.0,18,6,0,0
kicad,F3,DecisionTree,122,0.8569014084507042,0.7776769509981851,0.9896073903002309,0.8709349593495935,0.26952695269526955,1714,1328,490,18,1.0,1.0,0.0,18,6,0,0
kicad,F3,RandomForest,122,0.8645070422535212,0.7881160755412252,0.9878752886836027,0.8767614655393288,0.253025302530253,1711,1358,460,21,1.0,1.0,0.0,18,6,0,0
kicad,F3,GradientBoosting,122,0.8664788732394366,0.7898617511520737,0.9896073903002309,0.8785238339313172,0.2508250825082508,1714,1362,456,18,1.0,1.0,0.0,18,6,0,0
kicad,F4,LogReg,225,0.8684507042253521,0.7932313398238294,0.9878752886836027,0.8799177166366675,0.24532453245324531,1711,1372,446,21,1.0,1.0,0.0,18,6,0,0
kicad,F4,DecisionTree,225,0.8723943661971831,0.7970274036228518,0.9907621247113164,0.8833976833976833,0.2403740374037404,1716,1381,437,16,1.0,1.0,0.0,18,6,0,0
kicad,F4,RandomForest,225,0.8707042253521127,0.7934532042415859,0.99364896073903,0.8823378620866444,0.24642464246424642,1721,1370,448,11,1.0,1.0,0.0,18,6,0,0
kicad,F4,GradientBoosting,225,0.867887323943662,0.7944055944055944,0.9838337182448037,0.8790301779726594,0.24257425742574257,1704,1377,441,28,1.0,1.0,0.0,18,6,0,0
kicad,F5,LogReg,271,0.8687323943661972,0.7935992578849722,0.9878752886836027,0.8801440329218106,0.24477447744774478,1711,1373,445,21,1.0,1.0,0.0,18,6,0,0
kicad,F5,DecisionTree,271,0.8726760563380281,0.7973977695167286,0.9907621247113164,0.8836251287332647,0.23982398239823982,1716,1382,436,16,1.0,1.0,0.0,18,6,0,0
kicad,F5,RandomForest,271,0.8718309859154929,0.794919168591224,0.99364896073903,0.8832435206569155,0.24422442244224424,1721,1374,444,11,1.0,1.0,0.0,18,6,0,0
kicad,F5,GradientBoosting,271,0.8681690140845071,0.796157450796626,0.98094688221709,0.8789446456285567,0.23927392739273928,1699,1383,435,33,1.0,1.0,0.0,18,6,0,0
