path,events,duration_s,events_per_sec,file_size_kb,bytes_per_sec,mean_duration_us,p95_duration_us,software
freecad_bulk_export_r1.csv,21999,3.8711,5682.9,3749.8,991927.1,177.226,27.0,FreeCAD
freecad_bulk_export_r10.csv,21979,3.7906,5798.3,3856.3,1041767.0,174.383,27.0,FreeCAD
freecad_bulk_export_r11.csv,22033,3.7682,5847.2,3862.1,1049534.6,171.948,27.0,FreeCAD
freecad_bulk_export_r12.csv,22022,3.8002,5795.0,3861.7,1040563.0,173.803,28.0,FreeCAD
freecad_bulk_export_r13.csv,22033,3.7654,5851.5,3862.1,1050305.8,172.315,27.0,FreeCAD
freecad_bulk_export_r14.csv,22033,3.7919,5810.6,3863.3,1043281.4,173.331,26.0,FreeCAD
freecad_bulk_export_r15.csv,21996,3.758,5853.2,3856.3,1050801.7,172.328,26.0,FreeCAD
freecad_bulk_export_r16.csv,22033,5.0266,4383.3,3864.3,787212.0,232.222,47.0,FreeCAD
freecad_bulk_export_r17.csv,22021,5.6037,3929.7,3862.8,705877.5,258.666,55.0,FreeCAD
freecad_bulk_export_r18.csv,22022,5.1108,4308.9,3863.2,774035.6,236.542,48.0,FreeCAD
freecad_bulk_export_r19.csv,21979,6.0411,3638.3,3859.6,654219.0,276.933,57.0,FreeCAD
freecad_bulk_export_r2.csv,22033,3.8466,5727.9,3756.4,999968.5,176.775,27.0,FreeCAD
freecad_bulk_export_r20.csv,21970,5.8494,3755.9,3855.4,674918.1,273.43,54.0,FreeCAD
freecad_bulk_export_r3.csv,22046,3.7355,5901.8,3798.8,1041344.2,171.106,26.0,FreeCAD
freecad_bulk_export_r4.csv,22047,3.7658,5854.5,3802.4,1033956.6,172.428,27.0,FreeCAD
freecad_bulk_export_r5.csv,22021,3.8538,5714.1,3797.4,1009013.7,176.396,28.0,FreeCAD
freecad_bulk_export_r6.csv,22022,3.9676,5550.4,3796.1,979738.7,181.867,30.0,FreeCAD
freecad_bulk_export_r7.csv,21990,3.804,5780.8,3790.9,1020489.2,174.776,28.0,FreeCAD
