scenario,mode,session_accuracy,macro_f1
within_freecad,scalars,0.9583333333333334,0.9580419580419581
within_freecad,freq,1.0,1.0
within_freecad,seq,1.0,1.0
within_freecad,trans,1.0,1.0
within_freecad,ctx,1.0,1.0
within_freecad,fusion,1.0,1.0
within_kicad,scalars,0.9166666666666666,0.9188311688311689
within_kicad,freq,1.0,1.0
within_kicad,seq,1.0,1.0
within_kicad,trans,1.0,1.0
within_kicad,ctx,1.0,1.0
within_kicad,fusion,1.0,1.0
freecad_to_kicad,scalars,0.25,0.1
freecad_to_kicad,freq,0.25,0.1
freecad_to_kicad,seq,0.25,0.1
freecad_to_kicad,trans,0.25,0.1
freecad_to_kicad,ctx,0.5,0.375
freecad_to_kicad,fusion,0.25,0.1
kicad_to_freecad,scalars,0.25,0.1
kicad_to_freecad,freq,0.25,0.1
kicad_to_freecad,seq,0.3875,0.2815464213854556
kicad_to_freecad,trans,0.25,0.1
kicad_to_freecad,ctx,0.25,0.1
kicad_to_freecad,fusion,0.25,0.1
