mode,train_fraction,seed,n_train_sessions,n_train_chunks,session_accuracy,session_fpr
scalars,0.1,0,5,91,1.0,0.0
scalars,0.1,1,5,87,0.9583333333333334,0.16666666666666666
scalars,0.1,2,5,89,0.7916666666666666,0.8333333333333334
scalars,0.1,3,5,87,0.875,0.5
scalars,0.1,4,5,87,0.9583333333333334,0.16666666666666666
scalars,0.2,0,10,178,0.9583333333333334,0.16666666666666666
scalars,0.2,1,10,177,1.0,0.0
scalars,0.2,2,10,178,0.9166666666666666,0.3333333333333333
scalars,0.2,3,10,176,0.9583333333333334,0.16666666666666666
scalars,0.2,4,10,172,0.9583333333333334,0.16666666666666666
scalars,0.3,0,16,282,1.0,0.0
scalars,0.3,1,16,279,1.0,0.0
scalars,0.3,2,16,282,1.0,0.0
scalars,0.3,3,16,280,0.9583333333333334,0.16666666666666666
scalars,0.3,4,16,274,0.9583333333333334,0.16666666666666666
scalars,0.5,0,28,498,0.9583333333333334,0.16666666666666666
scalars,0.5,1,28,491,1.0,0.0
scalars,0.5,2,28,490,0.9583333333333334,0.16666666666666666
scalars,0.5,3,28,488,1.0,0.0
scalars,0.5,4,28,490,0.9583333333333334,0.16666666666666666
scalars,0.7,0,38,672,0.9583333333333334,0.16666666666666666
scalars,0.7,1,38,665,1.0,0.0
scalars,0.7,2,38,664,0.9583333333333334,0.16666666666666666
scalars,0.7,3,38,665,1.0,0.0
scalars,0.7,4,38,663,0.9583333333333334,0.16666666666666666
scalars,1.0,0,56,981,1.0,0.0
freq,0.1,0,5,91,0.8333333333333334,0.0
freq,0.1,1,5,87,0.9583333333333334,0.16666666666666666
freq,0.1,2,5,89,0.9166666666666666,0.3333333333333333
freq,0.1,3,5,87,0.9583333333333334,0.16666666666666666
freq,0.1,4,5,87,0.9583333333333334,0.16666666666666666
freq,0.2,0,10,178,0.9583333333333334,0.16666666666666666
freq,0.2,1,10,177,1.0,0.0
freq,0.2,2,10,178,0.9583333333333334,0.16666666666666666
freq,0.2,3,10,176,1.0,0.0
freq,0.2,4,10,172,1.0,0.0
freq,0.3,0,16,282,1.0,0.0
freq,0.3,1,16,279,1.0,0.0
freq,0.3,2,16,282,1.0,0.0
freq,0.3,3,16,280,1.0,0.0
freq,0.3,4,16,274,1.0,0.0
freq,0.5,0,28,498,1.0,0.0
freq,0.5,1,28,491,1.0,0.0
freq,0.5,2,28,490,1.0,0.0
freq,0.5,3,28,488,1.0,0.0
freq,0.5,4,28,490,1.0,0.0
freq,0.7,0,38,672,1.0,0.0
freq,0.7,1,38,665,1.0,0.0
freq,0.7,2,38,664,1.0,0.0
freq,0.7,3,38,665,1.0,0.0
freq,0.7,4,38,663,1.0,0.0
freq,1.0,0,56,981,1.0,0.0
seq,0.1,0,5,91,0.9583333333333334,0.0
seq,0.1,1,5,87,1.0,0.0
seq,0.1,2,5,89,1.0,0.0
seq,0.1,3,5,87,1.0,0.0
seq,0.1,4,5,87,1.0,0.0
seq,0.2,0,10,178,1.0,0.0
seq,0.2,1,10,177,1.0,0.0
seq,0.2,2,10,178,1.0,0.0
seq,0.2,3,10,176,1.0,0.0
seq,0.2,4,10,172,1.0,0.0
seq,0.3,0,16,282,1.0,0.0
seq,0.3,1,16,279,1.0,0.0
seq,0.3,2,16,282,1.0,0.0
seq,0.3,3,16,280,1.0,0.0
seq,0.3,4,16,274,1.0,0.0
seq,0.5,0,28,498,1.0,0.0
seq,0.5,1,28,491,1.0,0.0
seq,0.5,2,28,490,1.0,0.0
seq,0.5,3,28,488,1.0,0.0
seq,0.5,4,28,490,1.0,0.0
seq,0.7,0,38,672,1.0,0.0
seq,0.7,1,38,665,1.0,0.0
seq,0.7,2,38,664,1.0,0.0
seq,0.7,3,38,665,1.0,0.0
seq,0.7,4,38,663,1.0,0.0
seq,1.0,0,56,981,1.0,0.0
trans,0.1,0,5,91,1.0,0.0
trans,0.1,1,5,87,0.9583333333333334,0.16666666666666666
trans,0.1,2,5,89,0.9166666666666666,0.3333333333333333
trans,0.1,3,5,87,0.9166666666666666,0.3333333333333333
trans,0.1,4,5,87,1.0,0.0
trans,0.2,0,10,178,1.0,0.0
