mode,train_fraction,acc_mean,acc_std,fpr_mean,fpr_std
ctx,0.1,1.0,0.0,0.0,0.0
ctx,0.2,1.0,0.0,0.0,0.0
ctx,0.3,1.0,0.0,0.0,0.0
ctx,0.5,1.0,0.0,0.0,0.0
ctx,0.7,1.0,0.0,0.0,0.0
ctx,1.0,1.0,0.0,0.0,0.0
freq,0.1,0.925,0.05432668671002206,0.16666666666666666,0.11785113019775792
freq,0.2,0.9833333333333334,0.022821773229381875,0.06666666666666667,0.09128709291752768
freq,0.3,1.0,0.0,0.0,0.0
freq,0.5,1.0,0.0,0.0,0.0
freq,0.7,1.0,0.0,0.0,0.0
freq,1.0,1.0,0.0,0.0,0.0
fusion,0.1,0.9833333333333334,0.022821773229381875,0.03333333333333333,0.07453559924999298
fusion,0.2,1.0,0.0,0.0,0.0
fusion,0.3,1.0,0.0,0.0,0.0
fusion,0.5,1.0,0.0,0.0,0.0
fusion,0.7,1.0,0.0,0.0,0.0
fusion,1.0,1.0,0.0,0.0,0.0
scalars,0.1,0.9166666666666666,0.0833333333333334,0.33333333333333337,0.3333333333333333
scalars,0.2,0.9583333333333334,0.029462782549439504,0.16666666666666666,0.11785113019775792
scalars,0.3,0.9833333333333334,0.02282177322938192,0.06666666666666667,0.09128709291752768
scalars,0.5,0.975,0.0228217732293819,0.1,0.09128709291752768
scalars,0.7,0.975,0.0228217732293819,0.1,0.09128709291752768
scalars,1.0,1.0,0.0,0.0,0.0
seq,0.1,0.9916666666666668,0.018633899812498196,0.0,0.0
seq,0.2,1.0,0.0,0.0,0.0
seq,0.3,1.0,0.0,0.0,0.0
seq,0.5,1.0,0.0,0.0,0.0
seq,0.7,1.0,0.0,0.0,0.0
seq,1.0,1.0,0.0,0.0,0.0
trans,0.1,0.9583333333333333,0.0416666666666667,0.16666666666666666,0.16666666666666666
trans,0.2,1.0,0.0,0.0,0.0
trans,0.3,1.0,0.0,0.0,0.0
trans,0.5,1.0,0.0,0.0,0.0
trans,0.7,1.0,0.0,0.0,0.0
trans,1.0,1.0,0.0,0.0,0.0
