mode,train_fraction,seed,n_train_sessions,n_train_chunks,session_accuracy,session_fpr
scalars,0.1,0,5,650,1.0,0.0
scalars,0.1,1,5,690,1.0,0.0
scalars,0.1,2,5,670,1.0,0.0
scalars,0.1,3,5,715,1.0,0.0
scalars,0.1,4,5,690,1.0,0.0
scalars,0.2,0,10,1365,1.0,0.0
scalars,0.2,1,10,1340,1.0,0.0
scalars,0.2,2,10,1340,1.0,0.0
scalars,0.2,3,10,1385,1.0,0.0
scalars,0.2,4,10,1375,1.0,0.0
scalars,0.3,0,16,2358,1.0,0.0
scalars,0.3,1,16,2353,1.0,0.0
scalars,0.3,2,16,2308,1.0,0.0
scalars,0.3,3,16,2378,1.0,0.0
scalars,0.3,4,16,2388,1.0,0.0
scalars,0.5,0,28,4094,1.0,0.0
scalars,0.5,1,28,4079,1.0,0.0
scalars,0.5,2,28,4099,1.0,0.0
scalars,0.5,3,28,4119,1.0,0.0
scalars,0.5,4,28,4074,1.0,0.0
scalars,0.7,0,38,5449,1.0,0.0
scalars,0.7,1,38,5459,1.0,0.0
scalars,0.7,2,38,5429,1.0,0.0
scalars,0.7,3,38,5484,1.0,0.0
scalars,0.7,4,38,5429,1.0,0.0
scalars,1.0,0,56,8178,1.0,0.0
freq,0.1,0,5,650,1.0,0.0
freq,0.1,1,5,690,1.0,0.0
freq,0.1,2,5,670,1.0,0.0
freq,0.1,3,5,715,1.0,0.0
freq,0.1,4,5,690,1.0,0.0
freq,0.2,0,10,1365,1.0,0.0
freq,0.2,1,10,1340,1.0,0.0
freq,0.2,2,10,1340,1.0,0.0
freq,0.2,3,10,1385,1.0,0.0
freq,0.2,4,10,1375,1.0,0.0
freq,0.3,0,16,2358,1.0,0.0
freq,0.3,1,16,2353,1.0,0.0
freq,0.3,2,16,2308,1.0,0.0
freq,0.3,3,16,2378,1.0,0.0
freq,0.3,4,16,2388,1.0,0.0
freq,0.5,0,28,4094,1.0,0.0
freq,0.5,1,28,4079,1.0,0.0
freq,0.5,2,28,4099,1.0,0.0
freq,0.5,3,28,4119,1.0,0.0
freq,0.5,4,28,4074,1.0,0.0
freq,0.7,0,38,5449,1.0,0.0
freq,0.7,1,38,5459,1.0,0.0
freq,0.7,2,38,5429,1.0,0.0
freq,0.7,3,38,5484,1.0,0.0
freq,0.7,4,38,5429,1.0,0.0
freq,1.0,0,56,8178,1.0,0.0
seq,0.1,0,5,650,1.0,0.0
seq,0.1,1,5,690,1.0,0.0
seq,0.1,2,5,670,1.0,0.0
seq,0.1,3,5,715,1.0,0.0
seq,0.1,4,5,690,1.0,0.0
seq,0.2,0,10,1365,1.0,0.0
seq,0.2,1,10,1340,1.0,0.0
seq,0.2,2,10,1340,1.0,0.0
seq,0.2,3,10,1385,1.0,0.0
seq,0.2,4,10,1375,1.0,0.0
seq,0.3,0,16,2358,1.0,0.0
seq,0.3,1,16,2353,1.0,0.0
seq,0.3,2,16,2308,1.0,0.0
seq,0.3,3,16,2378,1.0,0.0
seq,0.3,4,16,2388,1.0,0.0
seq,0.5,0,28,4094,1.0,0.0
seq,0.5,1,28,4079,1.0,0.0
seq,0.5,2,28,4099,1.0,0.0
seq,0.5,3,28,4119,1.0,0.0
seq,0.5,4,28,4074,1.0,0.0
seq,0.7,0,38,5449,1.0,0.0
seq,0.7,1,38,5459,1.0,0.0
seq,0.7,2,38,5429,1.0,0.0
seq,0.7,3,38,5484,1.0,0.0
seq,0.7,4,38,5429,1.0,0.0
seq,1.0,0,56,8178,1.0,0.0
trans,0.1,0,5,650,1.0,0.0
trans,0.1,1,5,690,1.0,0.0
trans,0.1,2,5,670,1.0,0.0
trans,0.1,3,5,715,1.0,0.0
trans,0.1,4,5,690,1.0,0.0
