chunk_size,mode,K,events_observed,session_accuracy,session_fpr,detection_rate,n_sessions,n_anom_sessions
200,scalars,1,200,0.4583333333333333,0.3333333333333333,0.3888888888888889,24,18
200,scalars,2,400,0.5416666666666666,0.3333333333333333,0.5,24,18
200,scalars,3,600,0.3333333333333333,0.16666666666666666,0.16666666666666666,24,18
200,scalars,5,1000,0.3333333333333333,0.0,0.1111111111111111,24,18
200,scalars,8,1600,0.5833333333333334,0.16666666666666666,0.5,24,18
200,scalars,10,2000,0.9583333333333334,0.16666666666666666,1.0,24,18
200,scalars,15,3000,0.9166666666666666,0.3333333333333333,1.0,24,18
200,scalars,20,4000,0.9166666666666666,0.3333333333333333,1.0,24,18
200,freq,1,200,0.4583333333333333,0.16666666666666666,0.3333333333333333,24,18
200,freq,2,400,0.4583333333333333,0.16666666666666666,0.3333333333333333,24,18
200,freq,3,600,0.4583333333333333,0.16666666666666666,0.3333333333333333,24,18
200,freq,5,1000,0.4583333333333333,0.16666666666666666,0.3333333333333333,24,18
200,freq,8,1600,0.5416666666666666,0.3333333333333333,0.5,24,18
200,freq,10,2000,0.5416666666666666,0.3333333333333333,0.5,24,18
200,freq,15,3000,0.5833333333333334,0.16666666666666666,0.5,24,18
200,freq,20,4000,0.8333333333333334,0.16666666666666666,0.8333333333333334,24,18
200,seq,1,200,0.25,0.0,0.0,24,18
200,seq,2,400,0.25,0.0,0.0,24,18
200,seq,3,600,0.25,0.0,0.0,24,18
200,seq,5,1000,0.3333333333333333,0.0,0.1111111111111111,24,18
200,seq,8,1600,0.875,0.16666666666666666,0.8888888888888888,24,18
200,seq,10,2000,0.9583333333333334,0.16666666666666666,1.0,24,18
200,seq,15,3000,0.7916666666666666,0.16666666666666666,0.7777777777777778,24,18
200,seq,20,4000,0.9583333333333334,0.16666666666666666,1.0,24,18
200,trans,1,200,0.25,0.0,0.0,24,18
200,trans,2,400,0.20833333333333334,0.3333333333333333,0.05555555555555555,24,18
200,trans,3,600,0.20833333333333334,0.3333333333333333,0.05555555555555555,24,18
200,trans,5,1000,0.5833333333333334,0.5,0.6111111111111112,24,18
200,trans,8,1600,0.6666666666666666,0.5,0.7222222222222222,24,18
200,trans,10,2000,0.625,0.6666666666666666,0.7222222222222222,24,18
200,trans,15,3000,0.9166666666666666,0.3333333333333333,1.0,24,18
