chunk_size,mode,K,events_observed,session_accuracy,session_fpr,detection_rate,n_sessions,n_anom_sessions
200,scalars,1,200,0.75,1.0,1.0,24,18
200,scalars,2,400,0.75,1.0,1.0,24,18
200,scalars,3,600,0.75,1.0,1.0,24,18
200,scalars,5,1000,0.75,1.0,1.0,24,18
200,scalars,8,1600,0.75,1.0,1.0,24,18
200,scalars,10,2000,0.75,1.0,1.0,24,18
200,scalars,15,3000,0.75,1.0,1.0,24,18
200,scalars,20,4000,0.7916666666666666,0.8333333333333334,1.0,24,18
200,freq,1,200,0.75,1.0,1.0,24,18
200,freq,2,400,0.75,1.0,1.0,24,18
200,freq,3,600,0.75,1.0,1.0,24,18
200,freq,5,1000,0.75,1.0,1.0,24,18
200,freq,8,1600,0.75,1.0,1.0,24,18
200,freq,10,2000,0.75,1.0,1.0,24,18
200,freq,15,3000,0.75,1.0,1.0,24,18
200,freq,20,4000,0.7916666666666666,0.8333333333333334,1.0,24,18
200,seq,1,200,0.75,1.0,1.0,24,18
200,seq,2,400,0.75,1.0,1.0,24,18
200,seq,3,600,0.75,1.0,1.0,24,18
200,seq,5,1000,0.75,1.0,1.0,24,18
200,seq,8,1600,0.75,1.0,1.0,24,18
200,seq,10,2000,0.75,1.0,1.0,24,18
200,seq,15,3000,0.75,1.0,1.0,24,18
200,seq,20,4000,0.75,1.0,1.0,24,18
200,trans,1,200,0.75,1.0,1.0,24,18
200,trans,2,400,0.75,1.0,1.0,24,18
200,trans,3,600,0.75,1.0,1.0,24,18
200,trans,5,1000,0.75,1.0,1.0,24,18
200,trans,8,1600,0.75,1.0,1.0,24,18
200,trans,10,2000,0.75,1.0,1.0,24,18
200,trans,15,3000,0.75,1.0,1.0,24,18
200,trans,20,4000,0.75,1.0,1.0,24,18
200,ctx,1,200,0.75,1.0,1.0,24,18
200,ctx,2,400,0.75,1.0,1.0,24,18
200,ctx,3,600,0.75,1.0,1.0,24,18
200,ctx,5,1000,0.75,1.0,1.0,24,18
200,ctx,8,1600,0.75,1.0,1.0,24,18
200,ctx,10,2000,0.75,1.0,1.0,24,18
200,ctx,15,3000,0.75,1.0,1.0,24,18
200,ctx,20,4000,0.75,1.0,1.0,24,18
200,fusion,1,200,0.75,1.0,1.0,24,18
200,fusion,2,400,0.75,1.0,1.0,24,18
200,fusion,3,600,0.75,1.0,1.0,24,18
200,fusion,5,1000,0.75,1.0,1.0,24,18
200,fusion,8,1600,0.75,1.0,1.0,24,18
200,fusion,10,2000,0.75,1.0,1.0,24,18
200,fusion,15,3000,0.75,1.0,1.0,24,18
200,fusion,20,4000,0.9166666666666666,0.3333333333333333,1.0,24,18
500,scalars,1,500,0.75,1.0,1.0,24,18
500,scalars,2,1000,0.75,1.0,1.0,24,18
500,scalars,3,1500,0.75,1.0,1.0,24,18
500,scalars,5,2500,0.75,1.0,1.0,24,18
500,scalars,8,4000,0.9583333333333334,0.16666666666666666,1.0,24,18
500,scalars,10,5000,0.9583333333333334,0.16666666666666666,1.0,24,18
500,scalars,15,7500,1.0,0.0,1.0,24,18
500,scalars,20,10000,1.0,0.0,1.0,24,18
500,freq,1,500,0.75,1.0,1.0,24,18
500,freq,2,1000,0.75,1.0,1.0,24,18
500,freq,3,1500,0.875,0.5,1.0,24,18
500,freq,5,2500,0.875,0.5,1.0,24,18
