class,group,mean_acc_drop,std_acc_drop
bulk_export,scalars,-0.015238095238095273,0.00415133232718161
bulk_export,freq,-0.016666666666666698,0.007377111135633185
bulk_export,seq,0.059999999999999984,0.005714285714285733
bulk_export,trans,0.015238095238095207,0.012472191289246454
bulk_export,ctx,0.005714285714285694,0.0041513323271815785
normal,scalars,0.0004761904761904523,0.00409634536525842
normal,freq,0.0009523809523809268,0.005345224838248512
normal,seq,0.10619047619047614,0.009233675918888214
normal,trans,0.05999999999999994,0.007438333024673032
normal,ctx,0.00952380952380949,0.003367175148507357
project_scan,scalars,-0.017142857142857192,0.003158690276528941
project_scan,freq,-0.021428571428571463,0.002608202654786496
project_scan,seq,0.13428571428571429,0.011914281907806475
project_scan,trans,0.0014285714285714236,0.005553287518900266
project_scan,ctx,0.016190476190476134,0.002332847374079209
source_copy,scalars,-0.002857142857142847,0.002332847374079209
source_copy,freq,-0.00523809523809522,0.003158690276528941
source_copy,seq,0.18809523809523812,0.012325884862423598
source_copy,trans,0.025714285714285735,0.013075743064520001
source_copy,ctx,0.0338095238095238,0.004096345365258379
