software,config,noise_level,acc_mean,acc_std
freecad,fusion_full,0.0,1.0,0.0
freecad,fusion_full,0.05,0.95,0.05432668671002208
freecad,fusion_full,0.1,0.8583333333333334,0.04750730937913076
freecad,fusion_full,0.3,0.625,0.05103103630798288
freecad,fusion_minus_ctx,0.0,1.0,0.0
freecad,fusion_minus_ctx,0.05,0.7583333333333333,0.018633899812498234
freecad,fusion_minus_ctx,0.1,0.5416666666666666,0.029462782549439504
freecad,fusion_minus_ctx,0.3,0.3,0.018633899812498238
freecad,fusion_minus_freq,0.0,1.0,0.0
freecad,fusion_minus_freq,0.05,0.9833333333333334,0.02282177322938192
freecad,fusion_minus_freq,0.1,0.8,0.09501461875826146
freecad,fusion_minus_freq,0.3,0.525,0.0372677996249965
freecad,fusion_minus_scalars,0.0,1.0,0.0
freecad,fusion_minus_scalars,0.05,0.9166666666666666,0.058925565098878974
freecad,fusion_minus_scalars,0.1,0.7666666666666667,0.06319062870042959
freecad,fusion_minus_scalars,0.3,0.5333333333333333,0.05432668671002208
freecad,fusion_minus_seq,0.0,1.0,0.0
freecad,fusion_minus_seq,0.05,0.8333333333333334,0.02946278254943952
freecad,fusion_minus_seq,0.1,0.875,0.051031036307982836
freecad,fusion_minus_seq,0.3,0.5666666666666667,0.0756912588524373
freecad,fusion_minus_trans,0.0,1.0,0.0
freecad,fusion_minus_trans,0.05,0.9916666666666666,0.018633899812498234
freecad,fusion_minus_trans,0.1,0.75,0.05892556509887896
freecad,fusion_minus_trans,0.3,0.5416666666666666,0.0510310363079829
kicad,fusion_full,0.0,1.0,0.0
kicad,fusion_full,0.05,0.5666666666666667,0.022821773229381965
kicad,fusion_full,0.1,0.5,0.0
kicad,fusion_full,0.3,0.25,0.0
kicad,fusion_minus_ctx,0.0,1.0,0.0
kicad,fusion_minus_ctx,0.05,0.5,0.0
kicad,fusion_minus_ctx,0.1,0.36666666666666664,0.03486083443891984
kicad,fusion_minus_ctx,0.3,0.25,0.0
kicad,fusion_minus_freq,0.0,1.0,0.0
kicad,fusion_minus_freq,0.05,0.5333333333333333,0.03486083443891988
kicad,fusion_minus_freq,0.1,0.5,0.0
kicad,fusion_minus_freq,0.3,0.25,0.0
kicad,fusion_minus_scalars,0.0,1.0,0.0
kicad,fusion_minus_scalars,0.05,0.5166666666666667,0.03726779962499654
kicad,fusion_minus_scalars,0.1,0.5,0.0
kicad,fusion_minus_scalars,0.3,0.25,0.0
kicad,fusion_minus_seq,0.0,1.0,0.0
kicad,fusion_minus_seq,0.05,0.5,0.0
kicad,fusion_minus_seq,0.1,0.4916666666666666,0.01863389981249827
kicad,fusion_minus_seq,0.3,0.3416666666666667,0.045643546458763826
kicad,fusion_minus_trans,0.0,1.0,0.0
kicad,fusion_minus_trans,0.05,0.75,0.0
kicad,fusion_minus_trans,0.1,0.75,0.0
kicad,fusion_minus_trans,0.3,0.4666666666666666,0.018633899812498262
