held_out_type,mode,n_train_sessions,n_test_held_out,n_test_normal,session_session_accuracy,session_session_fpr,session_session_recall,session_tp,session_tn,session_fp,session_fn
bulk_export,scalars,54,20,6,1.0,0.0,1.0,20,6,0,0
bulk_export,freq,54,20,6,1.0,0.0,1.0,20,6,0,0
bulk_export,seq,54,20,6,1.0,0.0,1.0,20,6,0,0
bulk_export,trans,54,20,6,1.0,0.0,1.0,20,6,0,0
bulk_export,ctx,54,20,6,1.0,0.0,1.0,20,6,0,0
bulk_export,fusion,54,20,6,1.0,0.0,1.0,20,6,0,0
project_scan,scalars,54,20,6,1.0,0.0,1.0,20,6,0,0
project_scan,freq,54,20,6,1.0,0.0,1.0,20,6,0,0
project_scan,seq,54,20,6,1.0,0.0,1.0,20,6,0,0
project_scan,trans,54,20,6,1.0,0.0,1.0,20,6,0,0
project_scan,ctx,54,20,6,1.0,0.0,1.0,20,6,0,0
project_scan,fusion,54,20,6,1.0,0.0,1.0,20,6,0,0
source_copy,scalars,54,20,6,1.0,0.0,1.0,20,6,0,0
source_copy,freq,54,20,6,1.0,0.0,1.0,20,6,0,0
source_copy,seq,54,20,6,1.0,0.0,1.0,20,6,0,0
source_copy,trans,54,20,6,1.0,0.0,1.0,20,6,0,0
source_copy,ctx,54,20,6,1.0,0.0,1.0,20,6,0,0
source_copy,fusion,54,20,6,1.0,0.0,1.0,20,6,0,0
