mode,train_fraction,acc_mean,acc_std,f1_mean,f1_std,frac_std
ctx,0.1,1.0,0.0,1.0,0.0,0.0
ctx,0.2,1.0,0.0,1.0,0.0,0.0
ctx,0.3,1.0,0.0,1.0,0.0,0.0
ctx,0.5,1.0,0.0,1.0,0.0,0.0
ctx,0.7,1.0,0.0,1.0,0.0,0.0
ctx,1.0,1.0,0.0,1.0,,0.0
freq,0.1,0.975,0.055901699437494755,0.9733333333333334,0.05962847939999438,0.05962847939999438
freq,0.2,1.0,0.0,1.0,0.0,0.0
freq,0.3,1.0,0.0,1.0,0.0,0.0
freq,0.5,1.0,0.0,1.0,0.0,0.0
freq,0.7,1.0,0.0,1.0,0.0,0.0
freq,1.0,1.0,0.0,1.0,,0.0
fusion,0.1,0.975,0.055901699437494755,0.9733333333333334,0.05962847939999438,0.05962847939999438
fusion,0.2,1.0,0.0,1.0,0.0,0.0
fusion,0.3,1.0,0.0,1.0,0.0,0.0
fusion,0.5,1.0,0.0,1.0,0.0,0.0
fusion,0.7,1.0,0.0,1.0,0.0,0.0
fusion,1.0,1.0,0.0,1.0,,0.0
scalars,0.1,0.925,0.03486083443891984,0.9222644022644022,0.03800820346369479,0.03800820346369479
scalars,0.2,0.9333333333333333,0.04750730937913073,0.9306560106560106,0.05047075470768804,0.05047075470768804
scalars,0.3,0.9583333333333334,0.041666666666666685,0.9573226773226773,0.04285902904129892,0.04285902904129892
scalars,0.5,0.95,0.03486083443891984,0.948931068931069,0.03596753229758008,0.03596753229758008
scalars,0.7,0.975,0.03726779962499651,0.9744655344655344,0.03823405357076654,0.03823405357076654
scalars,1.0,0.9583333333333334,0.0,0.9580419580419581,,0.0
seq,0.1,0.975,0.055901699437494755,0.9723443223443222,0.06183997520191725,0.06183997520191725
seq,0.2,0.9833333333333334,0.037267799624996496,0.9828571428571429,0.038332593899996416,0.038332593899996416
seq,0.3,1.0,0.0,1.0,0.0,0.0
seq,0.5,1.0,0.0,1.0,0.0,0.0
seq,0.7,1.0,0.0,1.0,0.0,0.0
seq,1.0,1.0,0.0,1.0,,0.0
trans,0.1,0.975,0.055901699437494755,0.9733333333333334,0.05962847939999438,0.05962847939999438
trans,0.2,0.9916666666666666,0.018633899812498238,0.9916083916083916,0.018764206804194005,0.018764206804194005
trans,0.3,1.0,0.0,1.0,0.0,0.0
trans,0.5,1.0,0.0,1.0,0.0,0.0
trans,0.7,1.0,0.0,1.0,0.0,0.0
trans,1.0,1.0,0.0,1.0,,0.0
