mode,noise_level,seed,session_accuracy,macro_f1,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
scalars,0.0,0,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
freq,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.05,0,0.125,0.075,0.0,0.5,0.0,0.0
freq,0.05,0,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.05,0,0.8333333333333334,0.8057692307692308,0.3333333333333333,1.0,1.0,1.0
trans,0.05,0,0.75,0.6572398190045249,0.0,1.0,1.0,1.0
ctx,0.05,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,0,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
scalars,0.05,1,0.16666666666666666,0.12040133779264214,0.0,0.3333333333333333,0.3333333333333333,0.0
freq,0.05,1,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.05,1,0.7916666666666666,0.7478991596638656,0.16666666666666666,1.0,1.0,1.0
trans,0.05,1,0.7916666666666666,0.732967032967033,0.16666666666666666,1.0,1.0,1.0
ctx,0.05,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,1,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.05,2,0.125,0.09047619047619047,0.0,0.3333333333333333,0.16666666666666666,0.0
freq,0.05,2,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.05,2,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
trans,0.05,2,0.75,0.6666666666666666,0.0,1.0,1.0,1.0
ctx,0.05,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,2,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.05,3,0.125,0.09047619047619047,0.0,0.3333333333333333,0.16666666666666666,0.0
freq,0.05,3,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.05,3,0.875,0.8617216117216118,0.5,1.0,1.0,1.0
trans,0.05,3,0.7083333333333334,0.625,0.0,1.0,0.8333333333333334,1.0
ctx,0.05,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,3,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
scalars,0.05,4,0.20833333333333334,0.1525974025974026,0.0,0.5,0.3333333333333333,0.0
freq,0.05,4,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.05,4,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
trans,0.05,4,0.75,0.6572398190045249,0.0,1.0,1.0,1.0
ctx,0.05,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,4,0.9166666666666666,0.9115384615384616,0.6666666666666666,1.0,1.0,1.0
scalars,0.1,0,0.25,0.125,0.0,0.0,1.0,0.0
freq,0.1,0,0.2916666666666667,0.16964285714285715,0.0,0.16666666666666666,0.0,1.0
seq,0.1,0,0.5833333333333334,0.5113636363636364,0.0,1.0,0.3333333333333333,1.0
trans,0.1,0,0.5833333333333334,0.49188034188034185,0.0,1.0,0.3333333333333333,1.0
ctx,0.1,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,0,0.875,0.8617216117216118,0.5,1.0,1.0,1.0
scalars,0.1,1,0.25,0.125,0.0,0.0,1.0,0.0
freq,0.1,1,0.2916666666666667,0.1748768472906404,0.0,0.16666666666666666,0.0,1.0
seq,0.1,1,0.5,0.375,0.0,1.0,0.0,1.0
trans,0.1,1,0.5416666666666666,0.42142857142857143,0.0,1.0,0.16666666666666666,1.0
ctx,0.1,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,1,0.7916666666666666,0.7396978021978022,0.16666666666666666,1.0,1.0,1.0
scalars,0.1,2,0.25,0.13636363636363635,0.0,0.0,1.0,0.0
freq,0.1,2,0.2916666666666667,0.1748768472906404,0.0,0.16666666666666666,0.0,1.0
seq,0.1,2,0.5,0.375,0.0,1.0,0.0,1.0
trans,0.1,2,0.5416666666666666,0.4513888888888889,0.0,0.8333333333333334,0.3333333333333333,1.0
ctx,0.1,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,2,0.8333333333333334,0.8057692307692308,0.3333333333333333,1.0,1.0,1.0
scalars,0.1,3,0.25,0.13043478260869565,0.0,0.0,1.0,0.0
freq,0.1,3,0.2916666666666667,0.1748768472906404,0.0,0.16666666666666666,0.0,1.0
seq,0.1,3,0.5833333333333334,0.5113636363636364,0.0,1.0,0.3333333333333333,1.0
trans,0.1,3,0.625,0.5474358974358975,0.0,1.0,0.5,1.0
ctx,0.1,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,3,0.9166666666666666,0.9115384615384616,0.6666666666666666,1.0,1.0,1.0
scalars,0.1,4,0.2916666666666667,0.1688963210702341,0.0,0.16666666666666666,1.0,0.0
freq,0.1,4,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.1,4,0.625,0.5595238095238095,0.0,1.0,0.5,1.0
trans,0.1,4,0.5833333333333334,0.49862637362637363,0.0,1.0,0.3333333333333333,1.0
ctx,0.1,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,4,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
scalars,0.2,0,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.2,0,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.2,0,0.4583333333333333,0.3472727272727273,0.0,1.0,0.0,0.8333333333333334
trans,0.2,0,0.4166666666666667,0.29166666666666663,0.0,1.0,0.0,0.6666666666666666
ctx,0.2,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,0,0.7083333333333334,0.6822398190045249,0.3333333333333333,1.0,0.5,1.0
scalars,0.2,1,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.2,1,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.2,1,0.4166666666666667,0.3153846153846154,0.0,1.0,0.0,0.6666666666666666
trans,0.2,1,0.4166666666666667,0.3153846153846154,0.0,1.0,0.0,0.6666666666666666
ctx,0.2,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,1,0.6666666666666666,0.6188644688644689,0.16666666666666666,1.0,0.5,1.0
scalars,0.2,2,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.2,2,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.2,2,0.4583333333333333,0.3472727272727273,0.0,1.0,0.0,0.8333333333333334
trans,0.2,2,0.4166666666666667,0.3018181818181818,0.0,1.0,0.0,0.6666666666666666
ctx,0.2,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,2,0.7916666666666666,0.7931372549019609,0.5,1.0,0.6666666666666666,1.0
scalars,0.2,3,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.2,3,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.2,3,0.375,0.2777777777777778,0.0,1.0,0.0,0.5
trans,0.2,3,0.4166666666666667,0.28428093645484953,0.0,1.0,0.0,0.6666666666666666
ctx,0.2,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,3,0.7083333333333334,0.6916666666666667,0.3333333333333333,1.0,0.5,1.0
scalars,0.2,4,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.2,4,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.2,4,0.375,0.2777777777777778,0.0,1.0,0.0,0.5
trans,0.2,4,0.4583333333333333,0.32274247491638797,0.0,1.0,0.0,0.8333333333333334
ctx,0.2,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,4,0.7916666666666666,0.7859848484848484,0.5,1.0,0.6666666666666666,1.0
scalars,0.3,0,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.3,0,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.3,0,0.375,0.2777777777777778,0.0,1.0,0.0,0.5
trans,0.3,0,0.2916666666666667,0.16666666666666666,0.0,1.0,0.0,0.16666666666666666
ctx,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
