mode,noise_level,acc_mean,acc_std,f1_mean,f1_std
ctx,0.0,1.0,0.0,1.0,0.0
ctx,0.05,1.0,0.0,1.0,0.0
ctx,0.1,1.0,0.0,1.0,0.0
ctx,0.2,1.0,0.0,1.0,0.0
ctx,0.3,1.0,0.0,1.0,0.0
ctx,0.5,1.0,0.0,1.0,0.0
freq,0.0,1.0,0.0,1.0,0.0
freq,0.05,0.25,0.0,0.1,0.0
freq,0.1,0.2833333333333333,0.018633899812498248,0.15885467980295567,0.03297873427693923
freq,0.2,0.25,0.0,0.1,0.0
freq,0.3,0.25,0.0,0.1,0.0
freq,0.5,0.25,0.0,0.1,0.0
fusion,0.0,1.0,0.0,1.0,0.0
fusion,0.05,0.95,0.05432668671002208,0.9472494172494172,0.057988315519340694
fusion,0.1,0.8583333333333334,0.04750730937913076,0.8370787545787547,0.06612544721627821
fusion,0.2,0.7333333333333333,0.055901699437494734,0.7143786115844939,0.07416546189134747
fusion,0.3,0.625,0.05103103630798288,0.5576973795897945,0.05185275350485806
fusion,0.5,0.3916666666666667,0.03726779962499651,0.286022977022977,0.036409852370250045
scalars,0.0,0.9583333333333334,0.0,0.9580419580419581,0.0
scalars,0.05,0.15,0.037267799624996496,0.10579022426848513,0.030909034900889337
scalars,0.1,0.25833333333333336,0.018633899812498248,0.13713894800851323,0.018362909649228265
scalars,0.2,0.25,0.0,0.1,0.0
scalars,0.3,0.25,0.0,0.1,0.0
scalars,0.5,0.25,0.0,0.1,0.0
seq,0.0,1.0,0.0,1.0,0.0
seq,0.05,0.85,0.037267799624996496,0.8297446670976083,0.05249405139171628
seq,0.1,0.5583333333333333,0.055901699437494755,0.46645021645021645,0.08576626446606213
seq,0.2,0.4166666666666667,0.041666666666666644,0.3130971250971251,0.03477099642688853
seq,0.3,0.3583333333333333,0.06319062870042957,0.25284261332537195,0.06417637675148204
seq,0.5,0.3416666666666667,0.054326686710022075,0.22595682578291276,0.04013469106273271
trans,0.0,1.0,0.0,1.0,0.0
trans,0.05,0.75,0.02946278254943945,0.6678226675285499,0.03969539931276969
trans,0.1,0.575,0.03486083443891981,0.4821520146520147,0.048118958501940354
trans,0.2,0.425,0.018633899812498238,0.3031785750481403,0.015993975799317932
trans,0.3,0.30833333333333335,0.022821773229381902,0.19793833242109105,0.02608832731918518
trans,0.5,0.2666666666666667,0.047507309379130745,0.13636510041682456,0.054324936940060964
