mode,noise_level,acc_mean,acc_std,fpr_mean,fpr_std
ctx,0.0,1.0,0.0,0.0,0.0
ctx,0.05,1.0,0.0,0.0,0.0
ctx,0.1,1.0,0.0,0.0,0.0
ctx,0.2,1.0,0.0,0.0,0.0
ctx,0.3,1.0,0.0,0.0,0.0
ctx,0.5,1.0,0.0,0.0,0.0
freq,0.0,1.0,0.0,0.0,0.0
freq,0.05,0.8666666666666666,0.08014743359029727,0.5,0.33333333333333337
freq,0.1,0.475,0.08640183897219884,0.0,0.0
freq,0.2,0.25833333333333336,0.01863389981249827,0.0,0.0
freq,0.3,0.25833333333333336,0.018633899812498255,0.0,0.0
freq,0.5,0.4916666666666666,0.14848774734337888,0.2333333333333333,0.14907119849998599
fusion,0.0,1.0,0.0,0.0,0.0
fusion,0.05,0.75,0.0,1.0,0.0
fusion,0.1,0.75,0.0,1.0,0.0
fusion,0.2,0.75,0.0,1.0,0.0
fusion,0.3,0.75,0.0,1.0,0.0
fusion,0.5,0.75,0.0,1.0,0.0
scalars,0.0,1.0,0.0,0.0,0.0
scalars,0.05,0.75,0.0,1.0,0.0
scalars,0.1,0.75,0.0,1.0,0.0
scalars,0.2,0.75,0.0,1.0,0.0
scalars,0.3,0.75,0.0,1.0,0.0
scalars,0.5,0.75,0.0,1.0,0.0
seq,0.0,1.0,0.0,0.0,0.0
seq,0.05,0.75,0.0,1.0,0.0
seq,0.1,0.75,0.0,1.0,0.0
seq,0.2,0.75,0.0,1.0,0.0
seq,0.3,0.75,0.0,1.0,0.0
seq,0.5,0.75,0.0,1.0,0.0
trans,0.0,1.0,0.0,0.0,0.0
trans,0.05,0.75,0.0,1.0,0.0
trans,0.1,0.75,0.0,1.0,0.0
trans,0.2,0.75,0.0,1.0,0.0
trans,0.3,0.75,0.0,1.0,0.0
trans,0.5,0.75,0.0,1.0,0.0
