chunk_size,threshold,n_train_chunks,n_test_chunks,session_accuracy,session_fpr,tp,tn,fp,fn
500,0.3,1992,847,0.9583333333333334,0.16666666666666666,18,5,1,0
500,0.4,1992,847,1.0,0.0,18,6,0,0
500,0.5,1992,847,1.0,0.0,18,6,0,0
500,0.6,1992,847,1.0,0.0,18,6,0,0
500,0.7,1992,847,1.0,0.0,18,6,0,0
750,0.3,1315,560,1.0,0.0,18,6,0,0
750,0.4,1315,560,1.0,0.0,18,6,0,0
750,0.5,1315,560,1.0,0.0,18,6,0,0
750,0.6,1315,560,1.0,0.0,18,6,0,0
750,0.7,1315,560,1.0,0.0,18,6,0,0
1000,0.3,981,418,0.9583333333333334,0.16666666666666666,18,5,1,0
1000,0.4,981,418,1.0,0.0,18,6,0,0
1000,0.5,981,418,1.0,0.0,18,6,0,0
1000,0.6,981,418,1.0,0.0,18,6,0,0
1000,0.7,981,418,1.0,0.0,18,6,0,0
1500,0.3,631,269,1.0,0.0,18,6,0,0
1500,0.4,631,269,1.0,0.0,18,6,0,0
1500,0.5,631,269,1.0,0.0,18,6,0,0
1500,0.6,631,269,1.0,0.0,18,6,0,0
1500,0.7,631,269,1.0,0.0,18,6,0,0
2000,0.3,463,197,1.0,0.0,18,6,0,0
2000,0.4,463,197,1.0,0.0,18,6,0,0
2000,0.5,463,197,1.0,0.0,18,6,0,0
2000,0.6,463,197,1.0,0.0,18,6,0,0
2000,0.7,463,197,1.0,0.0,18,6,0,0
