chunk_size,threshold,n_train_chunks,n_test_chunks,session_accuracy,session_fpr,tp,tn,fp,fn
500,0.3,16368,6932,1.0,0.0,18,6,0,0
500,0.4,16368,6932,1.0,0.0,18,6,0,0
500,0.5,16368,6932,1.0,0.0,18,6,0,0
500,0.6,16368,6932,1.0,0.0,18,6,0,0
500,0.7,16368,6932,1.0,0.0,18,6,0,0
750,0.3,10903,4617,1.0,0.0,18,6,0,0
750,0.4,10903,4617,1.0,0.0,18,6,0,0
750,0.5,10903,4617,1.0,0.0,18,6,0,0
750,0.6,10903,4617,1.0,0.0,18,6,0,0
750,0.7,10903,4617,1.0,0.0,18,6,0,0
1000,0.3,8178,3462,1.0,0.0,18,6,0,0
1000,0.4,8178,3462,1.0,0.0,18,6,0,0
1000,0.5,8178,3462,1.0,0.0,18,6,0,0
1000,0.6,8178,3462,1.0,0.0,18,6,0,0
1000,0.7,8178,3462,1.0,0.0,18,6,0,0
1500,0.3,5438,2302,1.0,0.0,18,6,0,0
1500,0.4,5438,2302,1.0,0.0,18,6,0,0
1500,0.5,5438,2302,1.0,0.0,18,6,0,0
1500,0.6,5438,2302,1.0,0.0,18,6,0,0
1500,0.7,5438,2302,1.0,0.0,18,6,0,0
2000,0.3,4076,1724,1.0,0.0,18,6,0,0
2000,0.4,4076,1724,1.0,0.0,18,6,0,0
2000,0.5,4076,1724,1.0,0.0,18,6,0,0
2000,0.6,4076,1724,1.0,0.0,18,6,0,0
2000,0.7,4076,1724,1.0,0.0,18,6,0,0
