base_session,y_true,n_chunks,n_abnormal,mean_proba,y_pred
1a52a1f7-71fb-4850-8eee-b35c43a3664e,1,88,88,0.8336411980788531,1
1ca81f2c-e7eb-4e66-b80c-5f8c0451f8ae,1,88,86,0.8238271860764533,1
2a10c7c2-a0b9-4fda-a3e4-509cfff52dc0,1,108,106,0.8437379242932029,1
2a58b614-4e1b-45e2-9c78-bab376d3bdfe,1,88,88,0.8376190322204632,1
3801c08e-c3c7-4f8c-925a-b9f4372c124a,0,303,74,0.16378526319120335,0
41dc4a13-6894-4981-b3f0-06c964a37cdc,1,108,108,0.865965225059334,1
6ebb0112-b0a1-4728-84eb-ddb3ec517518,1,88,88,0.8383480812044076,1
6f3ead2c-49cb-4011-b661-534c03f8e4d9,0,303,73,0.15942358749378335,0
6fe06a06-bb11-4988-ac66-2218fbe759d6,0,303,74,0.16004090209587435,0
739a1094-580a-462f-8d89-299649bfb58e,1,84,80,0.7821174006309252,1
86f9b962-f2cb-4239-9851-7213d4f75c0b,1,84,83,0.8098546829537177,1
896e1d1c-7d03-4e41-9da0-9aeb98c345cb,1,108,108,0.8659504369116088,1
8c191ef4-69be-478a-bb29-71b09386787d,1,108,108,0.8661975030795035,1
96cf036e-a614-4354-8dd9-0419f2349143,0,303,76,0.16807976270380753,0
98893546-98df-41f5-99b4-1e476cbaacbf,0,303,74,0.16151251453865198,0
98fe9117-a581-460a-b779-9a869c76f5b2,1,108,108,0.8620888913414961,1
9b7c6db0-140e-4dc2-ad81-39f1566330aa,1,88,88,0.8359738666117149,1
9e97065d-560c-43c0-bbf2-67c4cd6011e2,1,108,108,0.8659052581217505,1
9ef9253c-0f71-48d7-a4ce-83a7e87175b5,1,108,108,0.8669455253257122,1
a3cd79ed-a234-4d88-add1-082211c5ca47,1,84,81,0.7892141733386928,1
b665dada-f7e0-4fb5-9b33-61b5f2940c02,1,88,88,0.8357074205534137,1
bf1b2b13-bcc6-49df-8e20-bc591cb84546,1,108,108,0.8642134075416386,1
d543e4a6-6cc5-4313-a97b-3985486fa415,0,303,73,0.15943130184004106,0
e41aa874-3105-4296-a300-9432726c1c3d,1,88,88,0.83816023520965,1
